COGs IDS	COG_Ids	func	name
COG0804	COG0804	E	Urease alpha subunit
COG0805	COG0805	U	Sec-independent protein secretion pathway component TatC
COG0806	COG0806	J	Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing
COG0807	COG0807	H	GTP cyclohydrolase II
COG0809	COG0809	J	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)
COG0810	COG0810	M	Periplasmic protein TonB, links inner and outer membranes
COG0811	COG0811	U	Biopolymer transport protein ExbB/TolQ
COG0812	COG0812	M	UDP-N-acetylenolpyruvoylglucosamine reductase
COG0813	COG0813	F	Purine-nucleoside phosphorylase
COG0814	COG0814	E	Amino acid permease
COG0815	COG0815	M	Apolipoprotein N-acyltransferase
COG0816	COG0816	K	RNase H-fold protein, predicted Holliday junction resolvase in Firmicutes and mycoplasms, involved in anti-termination at Rho-dependent terminators
COG0817	COG0817	L	Holliday junction resolvasome RuvABC endonuclease subunit
COG0818	COG0818	I	Diacylglycerol kinase
COG0819	COG0819	H	Thiaminase
COG0820	COG0820	J	Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37
COG0821	COG0821	I	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE
COG0822	COG0822	O	NifU homolog involved in Fe-S cluster formation
COG0823	COG0823	U	Periplasmic component of the Tol biopolymer transport system
COG0824	COG0824	I	Acyl-CoA thioesterase FadM
COG0825	COG0825	I	Acetyl-CoA carboxylase alpha subunit
COG0826	COG0826	O	Collagenase-like protease, PrtC family
COG0827	COG0827	L	Adenine-specific DNA methylase
COG0828	COG0828	J	Ribosomal protein S21
COG0829	COG0829	O	Urease accessory protein UreH
COG0830	COG0830	O	Urease accessory protein UreF
COG0831	COG0831	E	Urease gamma subunit
COG0832	COG0832	E	Urease beta subunit
COG0833	COG0833	E	Amino acid permease
COG0834	COG0834	E	ABC-type amino acid transport/signal transduction system, periplasmic component/domain
COG0835	COG0835	N	Chemotaxis signal transduction protein
COG0836	COG0836	M	Mannose-1-phosphate guanylyltransferase
COG0837	COG0837	G	Glucokinase
COG0838	COG0838	C	NADH:ubiquinone oxidoreductase subunit 3 (chain A)
COG0839	COG0839	C	NADH:ubiquinone oxidoreductase subunit 6 (chain J)
COG0840	COG0840	N	Methyl-accepting chemotaxis protein
COG0841	COG0841	V	Multidrug efflux pump subunit AcrB
COG0842	COG0842	V	ABC-type multidrug transport system, permease component
COG0843	COG0843	C	Heme/copper-type cytochrome/quinol oxidase, subunit 1
COG0845	COG0845	M	Multidrug efflux pump subunit AcrA (membrane-fusion protein)
COG0846	COG0846	O	NAD-dependent protein deacetylase, SIR2 family
COG0847	COG0847	L	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease
COG0848	COG0848	U	Biopolymer transport protein ExbD
COG0849	COG0849	D	Cell division ATPase FtsA
COG0850	COG0850	D	Septum formation inhibitor MinC
COG0851	COG0851	D	Septum formation topological specificity factor MinE
COG0852	COG0852	C	NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)
COG0853	COG0853	H	Aspartate 1-decarboxylase
COG0854	COG0854	H	Pyridoxine 5'-phosphate synthase PdxJ
COG0855	COG0855	P	Polyphosphate kinase
COG0857	COG0857	R	BioD-like N-terminal domain of phosphotransacetylase
COG0858	COG0858	J	Ribosome-binding factor A
COG0859	COG0859	M	ADP-heptose:LPS heptosyltransferase
COG0860	COG0860	M	N-acetylmuramoyl-L-alanine amidase
COG0861	COG0861	P	Membrane protein TerC, possibly involved in tellurium resistance
COG0863	COG0863	L	DNA modification methylase
COG0864	COG0864	K	Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain
COG1001	COG1001	F	Adenine deaminase
COG1002	COG1002	V	Type II restriction/modification system, DNA methylase subunit YeeA
COG1003	COG1003	E	Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain
COG1004	COG1004	M	UDP-glucose 6-dehydrogenase
COG1005	COG1005	C	NADH:ubiquinone oxidoreductase subunit 1 (chain H)
COG1006	COG1006	P	Multisubunit Na+/H+ antiporter, MnhC subunit
COG1007	COG1007	C	NADH:ubiquinone oxidoreductase subunit 2 (chain N)
COG1008	COG1008	C	NADH:ubiquinone oxidoreductase subunit 4 (chain M)
COG1009	COG1009	C	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit
COG1010	COG1010	H	Precorrin-3B methylase
COG1011	COG1011	H	FMN phosphatase YigB, HAD superfamily
COG1012	COG1012	C	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
COG1013	COG1013	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit
COG1014	COG1014	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit
COG1015	COG1015	G	Phosphopentomutase
COG1017	COG1017	C	Hemoglobin-like flavoprotein
COG1018	COG1018	C	Ferredoxin-NADP reductase
COG1020	COG1020	Q	Non-ribosomal peptide synthetase component F
COG1021	COG1021	Q	Non-ribosomal peptide synthetase component E (peptide arylation enzyme)
COG1022	COG1022	I	Long-chain acyl-CoA synthetase (AMP-forming)
COG1023	COG1023	G	6-phosphogluconate dehydrogenase (decarboxylating)
COG1024	COG1024	I	Enoyl-CoA hydratase/carnithine racemase
COG1025	COG1025	O	Secreted/periplasmic Zn-dependent peptidases, insulinase-like
COG1026	COG1026	O	Zn-dependent peptidase, M16 (insulinase) family
COG1027	COG1027	E	Aspartate ammonia-lyase
COG1028	COG1028	I	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family
COG1029	COG1029	C	Formylmethanofuran dehydrogenase subunit B
COG1030	COG1030	O	Membrane-bound serine protease (ClpP class)
COG1032	COG1032	R	Radical SAM superfamily enzyme YgiQ, UPF0313 family
COG1033	COG1033	R	Predicted exporter protein, RND superfamily
COG1034	COG1034	C	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)
COG1038	COG1038	C	Pyruvate carboxylase
COG1040	COG1040	R	Predicted amidophosphoribosyltransferases
COG1041	COG1041	J	tRNA G10  N-methylase Trm11
COG1042	COG1042	C	Acyl-CoA synthetase (NDP forming)
COG1043	COG1043	M	Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase
COG1044	COG1044	M	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
COG1045	COG1045	E	Serine acetyltransferase
COG1047	COG1047	O	FKBP-type peptidyl-prolyl cis-trans isomerase 2
COG1048	COG1048	C	Aconitase A
COG1049	COG1049	C	Aconitase B
COG1051	COG1051	F	ADP-ribose pyrophosphatase YjhB, NUDIX family
COG1052	COG1052	C	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase
COG1053	COG1053	C	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit
COG1054	COG1054	R	Predicted sulfurtransferase
COG1055	COG1055	P	Na+/H+ antiporter NhaD or related arsenite permease
COG1056	COG1056	H	Nicotinamide mononucleotide adenylyltransferase
COG1057	COG1057	H	Nicotinic acid mononucleotide adenylyltransferase
COG1058	COG1058	R	Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA
COG1059	COG1059	L	Thermostable 8-oxoguanine DNA glycosylase
COG1060	COG1060	H	2-iminoacetate synthase ThiH (tyrosine cleavage enzyme, thamine biosynthesis)
COG1061	COG1061	K	Superfamily II DNA or RNA helicase
COG1062	COG1062	R	Zn-dependent alcohol dehydrogenase
COG1063	COG1063	E	Threonine dehydrogenase or related Zn-dependent dehydrogenase
COG1064	COG1064	G	D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family
COG1066	COG1066	O	Predicted ATP-dependent serine protease
COG1067	COG1067	O	Predicted ATP-dependent protease
COG1069	COG1069	G	Ribulose kinase
COG1070	COG1070	G	Sugar (pentulose or hexulose) kinase
COG1071	COG1071	C	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha
COG1072	COG1072	H	Panthothenate kinase
COG1073	COG1073	T	Fermentation-respiration switch protein FrsA, has esterase activity, DUF1100 family
COG1074	COG1074	L	ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)
COG1075	COG1075	I	Triacylglycerol esterase/lipase EstA, alpha/beta hydrolase fold
COG1076	COG1076	O	DnaJ-domain-containing proteins 1
COG1077	COG1077	D	Actin-like ATPase involved in cell morphogenesis
COG1078	COG1078	R	HD superfamily phosphohydrolase
COG1079	COG1079	R	ABC-type uncharacterized transport system, permease component
COG1080	COG1080	G	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)
COG1082	COG1082	G	Sugar phosphate isomerase/epimerase
COG1083	COG1083	M	CMP-N-acetylneuraminic acid synthetase
COG1084	COG1084	R	GTP-binding protein, GTP1/Obg family
COG1085	COG1085	G	Galactose-1-phosphate uridylyltransferase
COG1086	COG1086	M	NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC
COG1087	COG1087	M	UDP-glucose 4-epimerase
COG1088	COG1088	M	dTDP-D-glucose 4,6-dehydratase
COG1089	COG1089	M	GDP-D-mannose dehydratase
COG1090	COG1090	R	NAD dependent epimerase/dehydratase family enzyme
COG1091	COG1091	M	dTDP-4-dehydrorhamnose reductase
COG1092	COG1092	J	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI
COG1098	COG1098	R	Predicted RNA-binding protein, contains ribosomal protein S1 (RPS1) domain
COG1099	COG1099	R	Predicted metal-dependent hydrolase, TIM-barrel fold
COG1100	COG1100	R	GTPase SAR1 family domain
COG1101	COG1101	R	ABC-type uncharacterized transport system, ATPase component
COG1104	COG1104	E	Cysteine sulfinate desulfinase/cysteine desulfurase or related enzyme
COG1105	COG1105	G	Fructose-1-phosphate kinase or kinase (PfkB)
COG1106	COG1106	R	ATPase/GTPase, AAA15 family
COG1108	COG1108	P	ABC-type Mn2+/Zn2+ transport system, permease component
COG1109	COG1109	G	Phosphomannomutase
COG1112	COG1112	L	Superfamily I DNA and/or RNA helicase
COG1113	COG1113	E	L-asparagine transporter and related permeases
COG1114	COG1114	E	Branched-chain amino acid permeases
COG1115	COG1115	E	Na+/alanine symporter
COG1116	COG1116	P	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
COG1117	COG1117	P	ABC-type phosphate transport system, ATPase component
COG1118	COG1118	P	ABC-type sulfate/molybdate transport systems, ATPase component
COG1119	COG1119	P	ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA
COG1120	COG1120	P	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component
COG1121	COG1121	P	ABC-type Mn2+/Zn2+ transport system, ATPase component
COG1122	COG1122	P	Energy-coupling factor transporter ATP-binding protein EcfA2
COG1123	COG1123	O	ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain
COG1124	COG1124	E	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
COG1125	COG1125	E	ABC-type proline/glycine betaine transport system, ATPase component
COG1126	COG1126	E	ABC-type polar amino acid transport system, ATPase component
COG1127	COG1127	M	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, ATPase component MlaF
COG1129	COG1129	G	ABC-type sugar transport system, ATPase component
COG1131	COG1131	V	ABC-type multidrug transport system, ATPase component
COG1132	COG1132	V	ABC-type multidrug transport system, ATPase and permease component
COG1133	COG1133	I	ABC-type long-chain fatty acid transport system, fused permease and ATPase components
COG1134	COG1134	G	ABC-type polysaccharide/polyol phosphate transport system, ATPase component
COG1135	COG1135	E	ABC-type methionine transport system, ATPase component
COG1136	COG1136	M	ABC-type lipoprotein export system, ATPase component
COG1137	COG1137	M	ABC-type lipopolysaccharide export system, ATPase component
COG1138	COG1138	C	Cytochrome c biogenesis factor
COG1139	COG1139	C	L-lactate utilization protein LutB, contains a ferredoxin-type domain
COG1140	COG1140	C	Nitrate reductase beta subunit
COG1141	COG1141	C	Ferredoxin
COG1143	COG1143	C	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)
COG1144	COG1144	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit
COG1145	COG1145	C	Ferredoxin
COG1146	COG1146	F	NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit
COG1151	COG1151	P	Hydroxylamine reductase (hybrid-cluster protein)
COG1154	COG1154	H	Deoxyxylulose-5-phosphate synthase
COG1155	COG1155	C	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1
COG1156	COG1156	C	Archaeal/vacuolar-type H+-ATPase subunit B/Vma2
COG1157	COG1157	N	Flagellar biosynthesis/type III secretory pathway ATPase
COG1158	COG1158	K	Transcription termination factor Rho
COG1159	COG1159	J	GTPase Era, involved in 16S rRNA processing
COG1160	COG1160	R	Predicted GTPases
COG1161	COG1161	J	Ribosome biogenesis GTPase A
COG1162	COG1162	J	Putative ribosome biogenesis GTPase RsgA
COG1164	COG1164	E	Oligoendopeptidase F
COG1165	COG1165	H	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
COG1166	COG1166	E	Arginine decarboxylase (spermidine biosynthesis)
COG1167	COG1167	K	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain
COG1169	COG1169	H	Isochorismate synthase EntC
COG1171	COG1171	E	Threonine dehydratase
COG1172	COG1172	G	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component
COG1173	COG1173	E	ABC-type dipeptide/oligopeptide/nickel transport system, permease component
COG1174	COG1174	E	ABC-type proline/glycine betaine transport system, permease component
COG1175	COG1175	G	ABC-type sugar transport system, permease component
COG1176	COG1176	E	ABC-type spermidine/putrescine transport system, permease component I
COG1177	COG1177	E	ABC-type spermidine/putrescine transport system, permease component II
COG1178	COG1178	P	ABC-type Fe3+ transport system, permease component
COG1179	COG1179	J	tRNA A37 threonylcarbamoyladenosine dehydratase
COG1180	COG1180	O	Pyruvate-formate lyase-activating enzyme
COG1181	COG1181	M	D-alanine-D-alanine ligase and related ATP-grasp enzymes
COG1182	COG1182	C	FMN-dependent NADH-azoreductase
COG1183	COG1183	I	Phosphatidylserine synthase
COG1185	COG1185	J	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)
COG1186	COG1186	J	Protein chain release factor B
COG1187	COG1187	J	16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases
COG1188	COG1188	J	Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain
COG1189	COG1189	J	Predicted rRNA methylase YqxC, contains S4 and FtsJ domains
COG1190	COG1190	J	Lysyl-tRNA synthetase (class II)
COG1191	COG1191	K	DNA-directed RNA polymerase specialized sigma subunit
COG1192	COG1192	N	Cellulose biosynthesis protein BcsQ
COG1193	COG1193	L	dsDNA-specific endonuclease/ATPase MutS2
COG1194	COG1194	L	Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs
COG1195	COG1195	L	Recombinational DNA repair ATPase RecF
COG1196	COG1196	D	Chromosome segregation ATPase
COG1197	COG1197	L	Transcription-repair coupling factor (superfamily II helicase)
COG1198	COG1198	L	Primosomal protein N' (replication factor Y) - superfamily II helicase
COG1199	COG1199	L	Rad3-related DNA helicase
COG1200	COG1200	L	RecG-like helicase
COG1201	COG1201	L	Lhr-like helicase
COG1203	COG1203	V	CRISPR/Cas system-associated endonuclease/helicase Cas3
COG1204	COG1204	L	Replicative superfamily II helicase
COG1205	COG1205	L	ATP-dependent helicase YprA,  contains C-terminal metal-binding DUF1998 domain
COG1206	COG1206	J	Folate-dependent tRNA-U54 methylase TrmFO/GidA
COG1207	COG1207	M	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase
COG1208	COG1208	J	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis proteins
COG1209	COG1209	M	dTDP-glucose pyrophosphorylase
COG1210	COG1210	M	UTP-glucose-1-phosphate uridylyltransferase
COG1211	COG1211	I	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
COG1212	COG1212	M	CMP-2-keto-3-deoxyoctulosonic acid synthetase
COG1214	COG1214	J	tRNA A37 threonylcarbamoyladenosine modification protein TsaB
COG1215	COG1215	N	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase
COG1216	COG1216	G	Glycosyltransferase, GT2 family
COG1217	COG1217	T	Predicted membrane GTPase involved in stress response
COG1218	COG1218	P	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase
COG1219	COG1219	O	ATP-dependent protease Clp, ATPase subunit
COG1220	COG1220	O	ATP-dependent protease HslVU (ClpYQ), ATPase subunit
COG1221	COG1221	K	Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain
COG1222	COG1222	O	ATP-dependent 26S proteasome regulatory subunit
COG1225	COG1225	O	Peroxiredoxin
COG1226	COG1226	P	Voltage-gated potassium channel Kch
COG1227	COG1227	C	Inorganic pyrophosphatase/exopolyphosphatase
COG1228	COG1228	Q	Imidazolonepropionase or related amidohydrolase
COG1230	COG1230	P	Co/Zn/Cd efflux system component
COG1231	COG1231	E	Monoamine oxidase
COG1232	COG1232	H	Protoporphyrinogen oxidase
COG1233	COG1233	Q	Phytoene dehydrogenase-related protein
COG1234	COG1234	J	Ribonuclease BN, tRNA processing enzyme
COG1235	COG1235	P	Phosphoribosyl 1,2-cyclic phosphodiesterase
COG1236	COG1236	J	RNA processing exonuclease, beta-lactamase fold, Cft2 family
COG1238	COG1238	S	Uncharacterized membrane protein YqaA, SNARE-associated domain
COG1239	COG1239	H	Mg-chelatase subunit ChlI
COG1240	COG1240	H	Mg-chelatase subunit ChlD
COG1241	COG1241	L	DNA replicative helicase MCM subunit Mcm2, Cdc46/Mcm family
COG1242	COG1242	R	Radical SAM superfamily enzyme
COG1245	COG1245	J	Translation initiation factor RLI1, contains Fe-S and AAA+ ATPase domains
COG1247	COG1247	E	L-amino acid N-acyltransferase YncA
COG1249	COG1249	C	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme
COG1250	COG1250	I	3-hydroxyacyl-CoA dehydrogenase
COG1251	COG1251	C	NAD(P)H-nitrite reductase, large subunit
COG1252	COG1252	C	NADH dehydrogenase, FAD-containing subunit
COG1253	COG1253	R	Hemolysin or related protein, contains CBS domains
COG1254	COG1254	C	Acylphosphatase
COG1256	COG1256	N	Flagellar hook-associated protein FlgK
COG1257	COG1257	I	Hydroxymethylglutaryl-CoA reductase
COG1259	COG1259	R	Bifunctional DNase/RNase
COG1261	COG1261	N	Flagella basal body P-ring formation protein FlgA
COG1262	COG1262	O	Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain
COG1263	COG1263	G	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific
COG1264	COG1264	G	Phosphotransferase system IIB components
COG1266	COG1266	O	Membrane protease YdiL, CAAX protease family
COG1267	COG1267	I	Phosphatidylglycerophosphatase A
COG1268	COG1268	H	Biotin transporter BioY
COG1270	COG1270	H	Cobalamin biosynthesis protein CobD/CbiB
COG1271	COG1271	C	Cytochrome bd-type quinol oxidase, subunit 1
COG1272	COG1272	U	Predicted membrane channel-forming protein YqfA, hemolysin III family
COG1273	COG1273	L	Non-homologous end joining protein Ku, dsDNA break repair
COG1274	COG1274	C	Phosphoenolpyruvate carboxykinase, GTP-dependent
COG1275	COG1275	V	Tellurite resistance protein TehA and related permeases
COG1276	COG1276	P	Putative copper export protein
COG1277	COG1277	O	ABC-type transport system involved in multi-copper enzyme maturation, permease component
COG1278	COG1278	K	Cold shock protein, CspA family
COG1279	COG1279	E	Arginine exporter protein ArgO
COG1280	COG1280	E	Threonine/homoserine/homoserine lactone efflux protein
COG1281	COG1281	O	Redox-regulated molecular chaperone, HSP33 family
COG1282	COG1282	C	NAD/NADP transhydrogenase beta subunit
COG1283	COG1283	P	Na+/phosphate symporter
COG1284	COG1284	S	Uncharacterized membrane-anchored protein YitT, contains DUF161 and DUF2179 domains
COG1285	COG1285	S	Uncharacterized membrane protein YhiD, involved in acid resistance
COG1286	COG1286	S	Uncharacterized membrane protein, required for colicin V production
COG1288	COG1288	R	Uncharacterized membrane protein YfcC, ion transporter superfamily
COG1289	COG1289	S	Uncharacterized membrane protein YccC
COG1290	COG1290	C	Cytochrome b subunit of the bc complex
COG1291	COG1291	N	Flagellar motor component MotA
COG1292	COG1292	M	Choline-glycine betaine transporter
COG1293	COG1293	J	Predicted component of the ribosome quality control (RQC) complex, YloA/Tae2 family, contains fibronectin-binding (FbpA) and DUF814 domains
COG1294	COG1294	C	Cytochrome bd-type quinol oxidase, subunit 2
COG1295	COG1295	S	Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)
COG1296	COG1296	E	Predicted branched-chain amino acid permease (azaleucine resistance)
COG1297	COG1297	S	Uncharacterized membrane protein, oligopeptide transporter (OPT) family
COG1298	COG1298	N	Flagellar biosynthesis pathway, component FlhA
COG1299	COG1299	G	Phosphotransferase system, fructose-specific IIC component
COG1300	COG1300	D	Uncharacterized membrane protein SpoIIM, required for sporulation
COG1301	COG1301	C	Na+/H+-dicarboxylate symporter
COG1302	COG1302	S	Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family
COG1304	COG1304	C	FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase
COG1305	COG1305	O	Transglutaminase-like enzyme, putative cysteine protease
COG1307	COG1307	I	Fatty acid-binding protein DegV (function unknown)
COG1309	COG1309	K	DNA-binding transcriptional regulator, AcrR family
COG1310	COG1310	O	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif
COG1312	COG1312	G	D-mannonate dehydratase
COG1314	COG1314	U	Preprotein translocase subunit SecG
COG1315	COG1315	S	Uncharacterized conserved protein, DUF342 family
COG1316	COG1316	M	Anionic cell wall polymer biosynthesis enzyme,  LytR-Cps2A-Psr (LCP) family
COG1317	COG1317	N	Flagellar biosynthesis/type III secretory pathway protein FliH
COG1318	COG1318	K	Predicted transcriptional regulator
COG1319	COG1319	C	CO or xanthine dehydrogenase, FAD-binding subunit
COG1320	COG1320	P	Multisubunit Na+/H+ antiporter, MnhG subunit
COG1321	COG1321	K	Mn-dependent transcriptional regulator, DtxR family
COG1322	COG1322	L	DNA anti-recombination protein (rearrangement mutator) RmuC
COG1324	COG1324	P	Uncharacterized protein involved in tolerance to divalent cations
COG1327	COG1327	K	Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains
COG1328	COG1328	F	Anaerobic ribonucleoside-triphosphate reductase
COG1329	COG1329	K	RNA polymerase-interacting regulator, CarD/CdnL/TRCF family
COG1330	COG1330	L	Exonuclease V gamma subunit
COG1331	COG1331	R	Uncharacterized conserved protein YyaL, SSP411 family, contains thoiredoxin and six-hairpin glycosidase-like domains
COG1333	COG1333	C	Cytochrome c biogenesis protein ResB
COG1334	COG1334	R	Uncharacterized conserved protein, FlaG/YvyC family
COG1335	COG1335	H	Nicotinamidase-related amidase
COG1338	COG1338	N	Flagellar biosynthetic protein FliP
COG1340	COG1340	S	Uncharacterized coiled-coil protein, contains DUF342 domain
COG1342	COG1342	R	Predicted DNA-binding protein, UPF0251 family
COG1344	COG1344	N	Flagellin and related hook-associated protein FlgL
COG1345	COG1345	N	Flagellar capping protein FliD
COG1346	COG1346	M	Putative effector of murein hydrolase
COG1347	COG1347	C	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD
COG1348	COG1348	P	Nitrogenase subunit NifH, an ATPase
COG1349	COG1349	K	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family
COG1350	COG1350	E	Predicted alternative tryptophan synthase beta-subunit (paralog of TrpB)
COG1352	COG1352	N	Methylase of chemotaxis methyl-accepting proteins
COG1353	COG1353	V	CRISPR/Cas system-associated protein Cas10, large subunit of type III CRISPR-Cas systems, contains HD superfamily nuclease domain
COG1354	COG1354	L	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family
COG1355	COG1355	R	Predicted class III extradiol dioxygenase, MEMO1 family
COG1357	COG1357	S	Uncharacterized protein YjbI, contains pentapeptide repeats
COG1358	COG1358	J	Ribosomal protein L7Ae or related RNA K-turn-binding protein
COG1359	COG1359	C	Quinol monooxygenase YgiN
COG1360	COG1360	N	Flagellar motor protein MotB
COG1362	COG1362	E	Aspartyl aminopeptidase
COG1363	COG1363	E	Putative aminopeptidase FrvX
COG1364	COG1364	E	N-acetylglutamate synthase (N-acetylornithine aminotransferase)
COG1366	COG1366	T	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)
COG1368	COG1368	M	Phosphoglycerol transferase MdoB or a related enzyme of AlkP superfamily
COG1372	COG1372	L	Intein/homing endonuclease
COG1373	COG1373	R	Predicted ATPase, AAA+ superfamily
COG1376	COG1376	M	Lipoprotein-anchoring transpeptidase ErfK/SrfK
COG1377	COG1377	N	Flagellar biosynthesis protein FlhB
COG1380	COG1380	R	Putative effector of murein hydrolase LrgA, UPF0299 family
COG1381	COG1381	L	Recombinational DNA repair protein (RecF pathway)
COG1385	COG1385	J	16S rRNA U1498 N3-methylase RsmE
COG1386	COG1386	K	Chromosome segregation and condensation protein ScpB
COG1387	COG1387	E	Histidinol phosphatase or related hydrolase of the PHP family
COG1388	COG1388	M	LysM repeat
COG1391	COG1391	O	Glutamine synthetase adenylyltransferase
COG1392	COG1392	S	Uncharacterized conserved protein YkaA, distantly related to PhoU, UPF0111/DUF47 family
COG1393	COG1393	P	Arsenate reductase and related proteins, glutaredoxin family
COG1395	COG1395	K	Predicted transcriptional regulator
COG1396	COG1396	K	Transcriptional regulator, contains XRE-family HTH domain
COG1397	COG1397	O	ADP-ribosylglycohydrolase
COG1398	COG1398	I	Fatty-acid desaturase
COG1399	COG1399	S	Uncharacterized metal-binding protein YceD, DUF177 family
COG1401	COG1401	V	5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB
COG1402	COG1402	H	 Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase involved in riboflavin and F420 biosynthesis
COG1403	COG1403	V	5-methylcytosine-specific restriction endonuclease McrA
COG1404	COG1404	O	Serine protease, subtilisin family
COG1406	COG1406	N	Chemotaxis protein CheX, a CheY~P-specific phosphatase
COG1407	COG1407	R	Metallophosphoesterase superfamily enzyme
COG1408	COG1408	R	Predicted phosphohydrolase, MPP superfamily
COG1409	COG1409	T	3',5'-cyclic AMP phosphodiesterase CpdA
COG1410	COG1410	E	Methionine synthase I, cobalamin-binding domain
COG1413	COG1413	R	HEAT repeat
COG1414	COG1414	K	DNA-binding transcriptional regulator, IclR family
COG1418	COG1418	J	HD superfamily phosphodieaserase, includes HD domain of RNase Y
COG1419	COG1419	N	Flagellar biosynthesis GTPase FlhF
COG1420	COG1420	K	Transcriptional regulator of heat shock response
COG1424	COG1424	H	Pimeloyl-CoA synthetase
COG1426	COG1426	D	Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains
COG1428	COG1428	F	Deoxyadenosine/deoxycytidine kinase
COG1429	COG1429	H	Cobalamin biosynthesis protein CobN, Mg-chelatase
COG1430	COG1430	S	Uncharacterized conserved membrane protein, UPF0127 family
COG1432	COG1432	S	Uncharacterized conserved protein, LabA/DUF88 family
COG1433	COG1433	O	Predicted Fe-Mo cluster-binding protein, NifX family
COG1434	COG1434	R	Uncharacterized SAM-binding protein YcdF, DUF218 family
COG1435	COG1435	F	Thymidine kinase
